permit_record_id,permit_address,permit_date,permit_est_cost,mls_list_no,mls_address,mls_list_date,mls_settled_date,mls_sale_price,match_type,match_score,time_to_list_days,time_to_sale_days,sale_to_cost_ratio
"","266 Weston Rd 4 2","","","73007760","266 Weston Rd 4 2","2022-07-05","2022-09-20","","exact","1","","",""
"","72 Great Plain Avenue 4 4","","","73357165","72 Great Plain Ave 4 4","2025-04-08","2025-08-28","","exact","1","","",""
"","150 Oakland Street 4 2","","","72803131","150 Oakland Street 4 2","2021-03-23","2021-06-07","","exact","1","","",""
"","30 Lantern Lane 5 4","","","73029698","30 Lantern Lane 5 4","2022-08-25","2022-11-22","","exact","1","","",""
"","120 Forest Street 5 3","","","72983792","120 Forest Street 5 3","2022-05-17","2022-07-21","","exact","1","","",""
"","15 Norwich Road 4 3","","","72963380","15 Norwich Road 4 3","2022-04-05","2022-06-06","","exact","1","","",""
"","26 Arnold Rd 4 2","","","72955693","26 Arnold Rd 4 2","2022-03-21","2022-05-05","","exact","1","","",""
"","23 Northgate Rd 5 3","","","72947798","23 Northgate Rd 5 3","2022-03-01","2022-06-09","","exact","1","","",""
"","8 Mansfield Rd 4 4","","","72924919","8 Mansfield Rd 4 4","2021-12-01","2022-01-27","","exact","1","","",""
"","72 Fairbanks Ave 5 3","","","72814030","72 Fairbanks Ave 5 3","2021-04-13","2021-08-11","","exact","1","","",""
"","108 Abbott Road 6 3","","","72813749","108 Abbott Road 6 3","2021-04-12","2021-05-06","","exact","1","","",""
"","11 Mansfield Rd 5 4","","","72655422","11 Mansfield Rd 5 4","2020-05-12","2020-08-13","","exact","1","","",""
"","16 Ledyard St 5 4","","","72654494","16 Ledyard St 5 4","2020-05-10","2021-04-01","","exact","1","","",""
"","54 Crown Ridge Road 5 3","","","72622554","54 Crown Ridge Road 5 3","2020-02-20","2020-06-04","","exact","1","","",""
"","26 Edmunds Rd 4 3","","","73443645","26 Edmunds Road 4 3","2025-10-14","2026-01-08","","exact","1","","",""
"","84 Audubon Rd 5 4","","","72580689","84 Audubon Rd 5 4","2019-10-15","2020-03-03","","exact","1","","",""
"","11 Shadow Lane 4 3","","","72819532","11 Shadow Lane 4 3","2021-04-22","2021-06-30","","exact","1","","",""
"","24 Kimlo Road 5 3","","","72971498","24 Kimlo Road 5 3","2022-04-25","2022-07-20","","exact","1","","",""
"","110 Suffolk Rd 5 2","","","73024012","110 Suffolk Rd 5 2","2022-08-09","2022-09-11","","exact","1","","",""
"","3 Auburn Rd 4 2","","","72947865","3 Auburn Rd 4 2","2022-03-01","2022-05-15","","exact","1","","",""
"","43 Fiske Rd 4 2","","","72905896","43 Fiske Rd 4 2","2021-10-06","2021-11-11","","exact","1","","",""
"","66 Oak St 4 3","","","72890850","66 Oak St 4 3","2021-09-07","2021-10-11","","exact","1","","",""
"","46 Overbrook Dr 4 3","","","73226868","46 Overbrook Dr 4 3","2024-04-21","2024-06-19","","exact","1","","",""
"","46 Earle Road 4 3","","","72842162","46 Earle Road 4 3","2021-06-01","2021-07-20","","exact","1","","",""
"","28 Sheridan Rd 5 5","","","72644280","28 Sheridan Rd 5 5","2020-04-16","2020-06-25","","exact","1","","",""
"","171 Benvenue St 4 3","","","73047646","171 Benvenue St 4 3","2022-10-12","2022-11-27","","exact","1","","",""
"","33 Longmeadow Rd 4 3","","","72976478","33 Longmeadow Rd 4 3","2022-05-03","2022-06-26","","exact","1","","",""
"","58 Fiske Road 4 2","","","72969699","58 Fiske Road 4 2","2022-04-20","2022-06-23","","exact","1","","",""
"","35 Sawyer Rd 4 3","","","72940986","35 Sawyer Rd 4 3","2022-02-08","2022-02-24","","exact","1","","",""
"","107 Dover Rd 3 3","","","72896507","107 Dover Rd 3 3","2021-09-15","2022-01-20","","exact","1","","",""
"","98 Beechwood Rd 5 3","","","72822246","98 Beechwood Rd 5 3","2021-04-27","2021-07-18","","exact","1","","",""
"","33 Tennyson Road 4 2","","","72712020","33 Tennyson Road 4 2","2020-08-18","2020-11-29","","exact","1","","",""
"","15 Tennyson Rd 4 3","","","72959095","15 Tennyson Rd 4 3","2022-03-28","2022-05-15","","exact","1","","",""
"","25 Chatham Circle 4 4","","","72899438","25 Chatham Circle 4 4","2021-09-22","2021-12-19","","exact","1","","",""
"","53 Audubon Rd 4 3","","","72963626","53 Audubon Rd 4 3","2022-04-05","2022-06-28","","exact","1","","",""
"","58 Cartwright Road 6 6","","","72594716","58 Cartwright Road 6 6","2019-11-19","2020-02-02","","exact","1","","",""
"","375 Linden St 5 4","","","72646842","375 Linden St 5 4","2020-04-22","2020-06-29","","exact","1","","",""
"","15 Arnold Rd 4 2","","","72959455","15 Arnold Rd 4 2","2022-03-29","2022-05-17","","exact","1","","",""
"","452 Weston Road 4 4","","","72624599","452 Weston Road 4 4","2020-02-25","2020-05-14","","exact","1","","",""
"","32 Forest St 4 2","","","72958982","32 Forest St 4 2","2022-03-28","2022-06-01","","exact","1","","",""
"","14 Birch Rd 4 2","","","72857884","14 Birch Rd 4 2","2021-06-27","2021-10-28","","exact","1","","",""
"","26 Lantern Lane 5 3","","","73055688","26 Lantern Lane 5 3","2022-11-04","2022-12-21","","exact","1","","",""
"","1 Ingleside Road 5 4","","","72570771","1 Ingleside Road 5 4","2019-09-24","2020-11-30","","exact","1","","",""
"","19 Shadow Ln 4 4","","","72681843","19 Shadow Ln 4 4","2020-06-26","2020-08-13","","exact","1","","",""
"","11 Hillside Rd 5 2","","","73049935","11 Hillside Rd 5 2","2022-10-18","2023-01-19","","exact","1","","",""
"","71 Emerson Road 4 2","","","72991253","71 Emerson Road 4 2","2022-06-01","2022-07-10","","exact","1","","",""
"","11 Trinity Ct 4 2","","","72979729","11 Trinity Ct 4 2","2022-05-10","2022-08-31","","exact","1","","",""
"","342 Linden St 4 2","","","72971017","342 Linden St 4 2","2022-04-24","2022-07-25","","exact","1","","",""
"","30 Crestwood Drive 4 3","","","72950706","30 Crestwood Drive 4 3","2022-03-08","2022-05-12","","exact","1","","",""
"","128 Forest Street 4 4","","","72843883","128 Forest Street 4 4","2021-06-03","2021-07-29","","exact","1","","",""
"","159 Glen Rd 5 4","","","72700155","159 Glen Rd 5 4","2020-07-28","2020-09-10","","exact","1","","",""
"","42 Richland Rd 5 3","","","72673348","42 Richland Rd 5 3","2020-06-12","2020-07-29","","exact","1","","",""
