record_id,address_raw,address_norm,date_submitted,est_cost,demo_cost,record_status,type_of_work
"RES-25-917","Development 12 LOWELL","DEVELOPMENT 12 LOWELL","","","","","Development"
"RES-25-426","Development 51 SMITH","DEVELOPMENT 51 SMITH","","","","","Development"
"RES-24-486","Development 222 GROVE","DEVELOPMENT 222 GROVE","","","","","Development"
"RES-24-871","Development 91 PROSPECT","DEVELOPMENT 91 PROSPECT","","","","","Development"
"RES-24-646","Development 206 BRISTOL","DEVELOPMENT 206 BRISTOL","","","","","Development"
"RES-24-935","Development 38 WOODCLIFF","DEVELOPMENT 38 WOODCLIFF","","","","","Development"
"","Below is all from S&N List","BELOW IS ALL FROM S&N LIST","","","","",""
"","22 Edgemoor,","22 EDGEMOOR","","","","",""
"","45 Mayo,","45 MAYO","","","","",""
"","38 Parker,","38 PARKER","","","","",""
"","21 Beechwood,","21 BEECHWOOD","","","","",""
"","15 Woodland,","15 WOODLAND","","","","",""
"","15 Lafayette","15 LAFAYETTE","","","","",""
"","39 Macarthur,","39 MACARTHUR","","","","",""
"","23 Macarthur,","23 MACARTHUR","","","","",""
"","8 Macarthur,","8 MACARTHUR","","","","",""
"","1 Lawrence,","1 LAWRENCE","","","","",""
"","10 Pinewood","10 PINEWOOD","","","","",""
"","63 Donizetti,","63 DONIZETTI","","","","",""
"","10 Alba","10 ALBA","","","","",""
"","345 Linden,","345 LINDEN","","","","",""
"","51 Smith,","51 SMITH","","","","",""
"","18 Rockland,","18 ROCKLAND","","","","",""
"","23 Wareland,","23 WARELAND","","","","",""
"","202 Cedar,","202 CEDAR","","","","",""
"","19 Pine","19 PINE","","","","",""
"","91 Prospect,","91 PROSPECT","","","","",""
"","19 Orchard,","19 ORCHARD","","","","",""
"","144 Washington","144 WASHINGTON","","","","",""
"","71 Fairbanks,","71 FAIRBANKS","","","","",""
"","23 Priscilla,","23 PRISCILLA","","","","",""
"","25 Sheridan,","25 SHERIDAN","","","","",""
"","46 Royalston,","46 ROYALSTON","","","","",""
"","78 Suffolk,","78 SUFFOLK","","","","",""
"","206 Bristol,","206 BRISTOL","","","","",""
"","69 Monadnock","69 MONADNOCK","","","","",""
"","66 Suffolk,","66 SUFFOLK","","","","",""
